Despesa,Janeiro,Status,Fevereiro,Status,Março,Status,Abril,Status,Maio,Status,Jun,Status,Jul,Status,Ago,Status,Set,Status,Out,Status,Nov,Status,Dez,Status
Cartão Wellington,"1.800,00",Pago,"1.500,00",Pago,"528,00",Pago,,,,,,,,,,,,,,,,,,
Carne e verdura,"200,00",,"300,00",Pago,"350,00",Pago,"400,00",,"450,00",,"450,00",,"600,00",,"600,00",,"600,00",,"600,00",,"600,00",,"600,00",
Renegociação IPTU,,,"120,00",Pago,"120,00",Pago,"120,00",,"120,00",,"120,00",,,,,,,,,,,,,
Renegociação Taxa lixo,"134,00",Pago,,,"100,00",Pago,,,,,,,,,,,,,,,,,,
Diego,,,"60,00",Pago,"60,00",Pago,,,,,,,,,,,,,,,,,,
Conselho Biomed,,,,,"130,00",Pago,,,,,,,,,,,,,,,,,,
Cartões c6 e Inter,,,"200,00",Pago,"200,00",Pago,"550,00",,,,,,,,,,,,,,,,,
AWS / Album / faculdade,,,,,"79,00",Pago,,,,,,,,,,,,,,,,,,
GCP,"156,00",Pago,,,,,,,,,,,,,,,,,,,,,,
Investimento,,,,,300,Pago,,,300,,300,,300,,300,,500,,1000,,1000,,1500,
Reserva de Emergência,,,,, ,,,,300,,300,,300,,300,,500,,600,,600,,600,
Grade Janelas ,,,,,250,Pago,,,,,,,,,,,,,,,,,,
Olimpia/ Uniforme,,,1800,Pago,120,Pago,,,,,,,,,,,,,,,,,,
Aniversario João Guilherme,"200,00",Pago,,,,,,,,,,,,,,,,,,,,,,
Sálario - Despesas,"(1.329,00)",,"(316,00)",,"1.089,00",,"(1.599,00)",,"(1.840,00)",,"(2.710,00)",,"(2.485,00)",,"(2.485,00)",,"(1.585,00)",,"(1.585,00)",,"(1.205,00)",,"(705,00)",
